"original_name","original_type","transformation","field_name","field_type"
"CADASTRO","text","clean_text(""cadastro"")","cadastro","text"
"CÓDIGO DA SANÇÃO","text","clean_text(""codigo_da_sancao"")","codigo","text"
"TIPO DE PESSOA","text","clean_text(""tipo_de_pessoa"")","sancionado_tipo","text"
"CPF OU CNPJ DO SANCIONADO","text","clean_text(""cpf_ou_cnpj_do_sancionado"")","sancionado_documento","text"
"NOME DO SANCIONADO","text","clean_text(""nome_do_sancionado"")","sancionado","text"
"NOME INFORMADO PELO ÓRGÃO SANCIONADOR","text","clean_text(""nome_informado_pelo_orgao_sancionador"")","sancionado_nome_informado","text"
"RAZÃO SOCIAL - CADASTRO RECEITA","text","clean_text(""razao_social_cadastro_receita"")","sancionado_razao_social_receita_federal","text"
"NOME FANTASIA - CADASTRO RECEITA","text","clean_text(""nome_fantasia_cadastro_receita"")","sancionado_nome_fantasia_receita_federal","text"
"NÚMERO DO PROCESSO","text","clean_text(""numero_do_processo"")","processo","text"
"CATEGORIA DA SANÇÃO","text","clean_text(""categoria_da_sancao"")","categoria","text"
"VALOR DA MULTA","text","REPLACE(REPLACE(""valor_da_multa"", '.', ''), ',', '.')::numeric","valor_multa","numeric"
"DATA INÍCIO SANÇÃO","text","TO_DATE(""data_inicio_sancao"", 'DD/MM/YYYY')","data_inicio","date"
"DATA FINAL SANÇÃO","text","TO_DATE(""data_final_sancao"", 'DD/MM/YYYY')","data_fim","date"
"DATA PUBLICAÇÃO","text","TO_DATE(""data_publicacao"", 'DD/MM/YYYY')","data_publicacao","date"
"PUBLICAÇÃO","text","clean_text(""publicacao"")","publicacao","text"
"DETALHAMENTO","text","clean_text(""detalhamento"")","detalhamento","text"
"DATA DO TRÂNSITO EM JULGADO","text","TO_DATE(""data_do_transito_em_julgado"", 'DD/MM/YYYY')","data_transito_em_julgado","date"
"ABRAGÊNCIA DEFINIDA EM DECISÃO JUDICIAL","text","clean_text(""abragencia_definida_em_decisao_judicial"")","abrangencia","text"
"ÓRGÃO SANCIONADOR","text","clean_text(""orgao_sancionador"")","orgao","text"
"UF ÓRGÃO SANCIONADOR","text","clean_text(""uf_orgao_sancionador"")","orgao_uf","text"
"ESFERA ÓRGÃO SANCIONADOR","text","clean_text(""esfera_orgao_sancionador"")","orgao_esfera","text"
"FUNDAMENTAÇÃO LEGAL","text","clean_text(""fundamentacao_legal"")","fundamentacao_legal","text"
